error_type,feature,error_mean,correct_mean,mean_delta_vs_correct
false_negative,systolic_bp_squared,13730.936170212766,16814.167220065385,-3083.2310498526185
false_positive,systolic_bp_squared,16643.68443042292,16814.167220065385,-170.48278964246492
false_negative,cholesterol_raw,166.72429078014184,181.06885982836127,-14.344569048219427
false_negative,systolic_bp,116.56471631205673,128.34884552513282,-11.784129213076085
false_negative,age_bp_interaction,57.76528812056737,67.1987019820188,-9.433413861451434
false_negative,mean_arterial_pressure,89.78398345153666,97.37033442310312,-7.5863509715664605
false_negative,pulse_pressure,40.17109929078014,46.46776665304454,-6.296667362264401
false_negative,diastolic_bp,76.3936170212766,81.88107887208827,-5.48746185081167
false_negative,bp_bmi_interaction,30.33665684362798,35.581292087106426,-5.244635243478445
false_negative,glucose_raw,85.52304964539007,90.11085002043319,-4.587800375043116
false_positive,glucose_raw,94.2581855388813,90.11085002043319,4.147335518448116
false_positive,age_bp_interaction,71.22011425648022,67.1987019820188,4.021412274461412
false_positive,age_years,55.61698499317872,52.06824683285656,3.5487381603221593
false_positive,cholesterol_raw,178.47169167803548,181.06885982836127,-2.5971681503257855
false_negative,age_years,49.54255319148936,52.06824683285656,-2.525693641367198
false_negative,bmi,26.02350928499024,27.495954930698826,-1.4724456457085857
false_negative,age_cholesterol_interaction,8.283960106382978,9.488941050265632,-1.2049809438826546
false_positive,bmi,28.156625261240176,27.495954930698826,0.6606703305413504
false_positive,bp_bmi_interaction,36.182798914831096,35.581292087106426,0.6015068277246698
false_positive,pulse_pressure,46.03581173260573,46.46776665304454,-0.43195492043881245
false_positive,age_cholesterol_interaction,9.900494542974078,9.488941050265632,0.4115534927084461
false_positive,diastolic_bp,82.1956002728513,81.88107887208827,0.31452140076302726
false_positive,mean_arterial_pressure,97.54087085038655,97.37033442310312,0.17053642728343732
false_positive,systolic_bp,128.23141200545703,128.34884552513282,-0.11743351967578519
false_positive,alcohol_missing,0.007844474761255117,0.0659991826726604,-0.058154707911405285
false_positive,active_missing,0.007844474761255117,0.0659991826726604,-0.058154707911405285
false_negative,lifestyle_risk_score,0.4326241134751773,0.4814058030241112,-0.04878168954893386
false_positive,lifestyle_risk_score,0.44440654843110505,0.4814058030241112,-0.036999254593006126
false_positive,smoke,0.08663028649386084,0.12137310993052718,-0.034742823436666334
false_negative,active,0.833984375,0.8008094508860205,0.03317492411397949
false_negative,active_missing,0.09219858156028368,0.0659991826726604,0.02619939888762328
false_negative,alcohol_missing,0.09219858156028368,0.0659991826726604,0.02619939888762328
false_positive,active,0.7765555173599175,0.8008094508860205,-0.024253933526103055
false_positive,alcohol,0.049845307665864556,0.056333406256836575,-0.006488098590972019
false_negative,smoke,0.11702127659574468,0.12137310993052718,-0.004351833334782493
false_negative,alcohol,0.052734375,0.056333406256836575,-0.0035990312568365754
